epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,14423,1.00779,0.57432,0.90648,0.80533,0.96796,0.96571,0.79024,0.65005,0.52223,0.82917,0.00998574,0.00998574,0.00998574
146,14522.4,0.98569,0.56575,0.90507,0.89904,0.93934,0.98502,0.82154,0.64923,0.42723,0.82737,0.00998565,0.00998565,0.00998565
147,14621.9,1.02072,0.58696,0.90915,0.86433,0.95818,0.95911,0.80946,0.64572,0.49057,0.83613,0.00998555,0.00998555,0.00998555
148,14721.3,1.00213,0.57067,0.90479,0.89862,0.9375,0.96508,0.78171,0.63982,0.45439,0.82444,0.00998545,0.00998545,0.00998545
149,14820.8,0.9857,0.6079,0.90581,0.8634,0.93401,0.97979,0.81087,0.65165,0.44299,0.84104,0.00998535,0.00998535,0.00998535
150,14920.2,1.03491,0.60773,0.90927,0.91614,0.91215,0.98362,0.8316,0.63005,0.46751,0.83945,0.00998525,0.00998525,0.00998525
151,15019.6,0.98682,0.57182,0.9122,0.85366,0.93755,0.98279,0.83728,0.61162,0.49185,0.82596,0.00998515,0.00998515,0.00998515
152,15119.1,0.96778,0.56829,0.89309,0.83205,0.99974,0.97305,0.81532,0.62095,0.49667,0.8302,0.00998505,0.00998505,0.00998505
153,15218.5,0.98456,0.57657,0.91948,0.67039,0.95796,0.91709,0.75404,0.64656,0.60634,0.82967,0.00998495,0.00998495,0.00998495
154,15318,0.96176,0.56249,0.90183,0.82001,0.96944,0.97453,0.81889,0.63672,0.4577,0.82899,0.00998485,0.00998485,0.00998485
155,15417.4,0.98223,0.5762,0.91339,0.87398,0.95404,0.9789,0.81013,0.60133,0.42674,0.82732,0.00998475,0.00998475,0.00998475
156,15516.8,0.98867,0.57255,0.91353,0.90503,0.94105,0.9868,0.80903,0.64408,0.43621,0.83714,0.00998465,0.00998465,0.00998465
157,15616.3,0.9871,0.57989,0.91028,0.92982,0.94217,0.97895,0.83969,0.60866,0.41079,0.8262,0.00998456,0.00998456,0.00998456
158,15715.7,0.95581,0.57843,0.8968,0.89702,0.72062,0.85928,0.74417,0.64525,0.7088,0.83991,0.00998446,0.00998446,0.00998446
159,15815.1,0.97207,0.58688,0.91178,0.84672,0.88113,0.89801,0.757,0.65975,0.63571,0.84732,0.00998436,0.00998436,0.00998436
160,15914.6,0.96205,0.56697,0.90891,0.94868,0.92397,0.99097,0.81971,0.65078,0.43851,0.83677,0.00998426,0.00998426,0.00998426
161,16014,0.96434,0.5514,0.8992,0.94569,0.95001,0.9794,0.8083,0.65356,0.44346,0.82745,0.00998416,0.00998416,0.00998416
162,16113.4,0.97187,0.57294,0.91246,0.88962,0.93309,0.98313,0.81827,0.64666,0.45173,0.82376,0.00998406,0.00998406,0.00998406
163,16212.8,0.97321,0.56668,0.89964,0.85219,0.97076,0.98329,0.82509,0.62156,0.45201,0.83174,0.00998396,0.00998396,0.00998396
164,16312.2,0.97807,0.57282,0.89591,0.84045,0.84926,0.89569,0.727,0.66371,0.62392,0.84578,0.00998386,0.00998386,0.00998386
165,16411.6,0.97471,0.5677,0.90736,0.84101,0.93967,0.96596,0.82883,0.5937,0.48711,0.82012,0.00998376,0.00998376,0.00998376
166,16511,0.96494,0.56315,0.90438,0.84844,0.93799,0.95821,0.79314,0.64885,0.58686,0.83175,0.00998366,0.00998366,0.00998366
167,16610.5,0.96167,0.55627,0.90315,0.81833,0.97093,0.96588,0.76961,0.70757,0.50687,0.84471,0.00998357,0.00998357,0.00998357
168,16709.9,0.94475,0.566,0.89932,0.87292,0.88544,0.97133,0.8132,0.5892,0.44685,0.83604,0.00998347,0.00998347,0.00998347
169,16809.3,0.96234,0.54576,0.89433,0.86618,0.96556,0.97858,0.82786,0.57694,0.46199,0.82112,0.00998337,0.00998337,0.00998337
170,16908.8,0.97619,0.54438,0.90943,0.87057,0.9645,0.98831,0.83669,0.60015,0.46056,0.82031,0.00998327,0.00998327,0.00998327
